sent_id,type,idiom_id,group,trial_order,rt_raw_ms,unit_rt_ms,unit_rt_log,participant,biasing_context,resolution_type,idiom,ipm,ipm_bri,frequency,familiarity,literality,is_low
6,3,2,1,3,531.5915999235585,31.270094113150503,3.4426621811598324,2625,-0.5,0.5,поставить на ноги,3.122762356918387,0.7383027589739599,0.7267338174489247,0.44750552958627376,1.2812010275749834,0
5,2,2,1,10,1197.919499943964,70.46585293788023,4.255128236989151,2625,0.5,-0.5,поставить на ноги,3.122762356918387,0.7383027589739599,0.7267338174489247,0.44750552958627376,1.2812010275749834,0
4,1,2,2,2,1397.737099905498,82.21982940620578,4.409396506622114,3685,0.5,0.5,поставить на ноги,3.122762356918387,0.7383027589739599,0.7267338174489247,0.44750552958627376,1.2812010275749834,0
4,1,2,2,11,1443.707500002347,84.92397058837335,4.441756392552792,5552,0.5,0.5,поставить на ноги,3.122762356918387,0.7383027589739599,0.7267338174489247,0.44750552958627376,1.2812010275749834,0
7,4,2,2,30,742.9039999842644,43.70023529319202,3.7773534863706195,5552,-0.5,-0.5,поставить на ноги,3.122762356918387,0.7383027589739599,0.7267338174489247,0.44750552958627376,1.2812010275749834,0
6,3,2,1,10,1261.299100005999,74.19406470623524,4.3066841564919205,5698,-0.5,0.5,поставить на ноги,3.122762356918387,0.7383027589739599,0.7267338174489247,0.44750552958627376,1.2812010275749834,0
6,3,2,1,12,298.8704999443144,17.5806176437832,2.866797024960871,5705,-0.5,0.5,поставить на ноги,3.122762356918387,0.7383027589739599,0.7267338174489247,0.44750552958627376,1.2812010275749834,0
5,2,2,1,19,1452.236599987373,85.42568235219841,4.4476467857037045,5705,0.5,-0.5,поставить на ноги,3.122762356918387,0.7383027589739599,0.7267338174489247,0.44750552958627376,1.2812010275749834,0
6,3,2,1,12,474.1743999766186,27.892611763330507,3.3283618424084422,6912,-0.5,0.5,поставить на ноги,3.122762356918387,0.7383027589739599,0.7267338174489247,0.44750552958627376,1.2812010275749834,0
7,4,2,2,25,750.6897000130266,44.1582176478251,3.7877790399184588,7163,-0.5,-0.5,поставить на ноги,3.122762356918387,0.7383027589739599,0.7267338174489247,0.44750552958627376,1.2812010275749834,0
4,1,2,2,30,1158.554100082256,68.15024118130917,4.22171469711367,7163,0.5,0.5,поставить на ноги,3.122762356918387,0.7383027589739599,0.7267338174489247,0.44750552958627376,1.2812010275749834,0
